audio_id,status,processed_duration
audio_1,success,2.144
audio_10,success,1.728
audio_100,success,1.536
audio_101,success,1.6
audio_102,success,1.216
audio_103,success,1.632
audio_104,success,1.984
audio_105,success,1.792
audio_106,success,1.6
audio_107,success,1.568
audio_108,success,2.208
audio_109,success,2.112
audio_11,success,1.76
audio_110,success,1.984
audio_111,success,1.824
audio_112,success,1.984
audio_113,success,1.696
audio_114,success,1.536
audio_115,success,1.952
audio_116,success,1.76
audio_117,success,1.6
audio_118,success,1.792
audio_119,success,2.08
audio_12,success,2.144
audio_120,success,2.08
audio_121,success,1.984
audio_122,success,1.824
audio_123,success,2.048
audio_124,success,1.856
audio_125,success,1.792
audio_126,success,3.104
audio_127,success,2.656
audio_128,success,2.112
audio_129,success,4.544
audio_13,success,1.92
audio_130,success,2.944
audio_131,success,3.424
audio_132,success,4.16
audio_133,success,3.296
audio_134,success,3.616
audio_135,success,4.384
audio_136,success,2.624
audio_137,success,2.784
audio_138,success,2.88
audio_139,success,2.944
audio_14,success,1.888
audio_140,success,2.72
audio_141,success,3.424
audio_142,success,3.2
audio_143,success,3.296
audio_144,success,2.848
audio_145,success,3.232
audio_146,success,2.912
audio_147,success,2.912
audio_148,success,2.912
audio_149,success,3.488
audio_15,success,1.792
audio_150,success,3.168
audio_151,success,3.424
audio_152,success,3.104
audio_153,success,3.04
audio_154,success,3.872
audio_155,success,3.36
audio_156,success,2.208
audio_157,success,3.712
audio_158,success,2.272
audio_159,success,2.592
audio_16,success,2.208
audio_160,success,3.104
audio_161,success,3.328
audio_162,success,3.648
audio_163,success,2.656
audio_164,success,1.92
audio_165,success,3.392
audio_166,success,3.424
audio_167,success,3.872
audio_168,success,3.296
audio_169,success,4.096
audio_17,success,1.856
audio_170,success,3.136
audio_171,success,3.84
audio_172,success,2.592
audio_173,success,3.136
audio_174,success,3.712
audio_175,success,3.328
audio_176,success,3.744
audio_177,success,2.848
audio_178,success,3.584
audio_179,success,3.648
audio_18,success,1.568
audio_180,success,4.192
audio_181,success,3.36
audio_182,success,2.88
audio_183,success,3.008
audio_184,success,2.816
audio_185,success,3.968
audio_186,success,3.136
audio_187,success,2.496
audio_188,success,3.52
audio_189,success,4.416
audio_19,success,2.016
audio_190,success,2.56
audio_191,success,3.84
audio_192,success,2.72
audio_193,success,2.88
audio_194,success,3.968
